"Commune","Qté tot réc par les caves particulières (hl)","Part Vins AOP rouge/rosé réc (%)","Part Vins AOP blanc réc (%)","Part Vins IGP rouge/rosé réc (%)","Part Vins IGP blanc réc (%)","Part Vins sans IG et autres rouge/rosé réc (%)","Part Vins sans IG et autres blanc réc (%)","Accès au graphique de la part des types de vin / couleur","code"
"18- QUINCY","7047","8.6","88.9","1.9","0.2","0.4","0","url:../graphs/rpart/rpart_c630.html;D'autres informations","18"
"18- MENETOU-RATEL","5689","24.5","74.9","0","0","0.6","0","url:../graphs/rpart/rpart_c624.html;D'autres informations","18"
"18- PARASSY","1016","37.6","55.8","1.6","0.3","4.3","0.5","url:../graphs/rpart/rpart_c629.html;D'autres informations","18"
"21- FLAGEY-ECHEZEAUX","823","93.6","5.4","0","0","1","0","url:../graphs/rpart/rpart_c668.html;D'autres informations","21"
"21- NOLAY","3011","79.7","20.1","0","0","0.2","0","url:../graphs/rpart/rpart_c685.html;D'autres informations","21"
"21- SAINT-ROMAIN","4483","50.3","49.6","0","0","0.1","0","url:../graphs/rpart/rpart_c693.html;D'autres informations","21"
"21- NUITS-SAINT-GEORGES","17730","80.1","19.8","0","0","0.2","0","url:../graphs/rpart/rpart_c686.html;D'autres informations","21"
"21- MERCEUIL","512","54.2","40","0","0","2.9","2.9","url:../graphs/rpart/rpart_c678.html;D'autres informations","21"
"21- BEAUNE","15992","68.7","30.9","0.1","0.2","0","0","url:../graphs/rpart/rpart_c647.html;D'autres informations","21"
"21- LADOIX-SERRIGNY","6318","75.5","24.1","0","0","0.4","0","url:../graphs/rpart/rpart_c671.html;D'autres informations","21"
"21- SAVIGNY-LES-BEAUNE","6618","77.9","22.1","0","0","0","0","url:../graphs/rpart/rpart_c696.html;D'autres informations","21"
"21- FLAVIGNY-SUR-OZERAIN","195","0","0","52.6","39.1","5.1","3.2","url:../graphs/rpart/rpart_c669.html;D'autres informations","21"
"21- DIJON","272","65","33.9","0","0","1.2","0","url:../graphs/rpart/rpart_c665.html;D'autres informations","21"
"21- CORPEAU","443","37.1","58.6","0","0","2.2","2.1","url:../graphs/rpart/rpart_c663.html;D'autres informations","21"
"21- MAGNY-LES-VILLERS","3574","59.9","39.3","0","0","0","0.8","url:../graphs/rpart/rpart_c672.html;D'autres informations","21"
"21- COUCHEY","2705","85.8","13.7","0","0","0.4","0.1","url:../graphs/rpart/rpart_c664.html;D'autres informations","21"
"21- MOLESME","2016","2.4","97.6","0","0","0","0","url:../graphs/rpart/rpart_c680.html;D'autres informations","21"
"21- GEVREY-CHAMBERTIN","16705","95.4","4.4","0","0","0.1","0","url:../graphs/rpart/rpart_c670.html;D'autres informations","21"
"21-LA ROCHEPOT","2938","78.1","21.9","0","0","0","0","url:../graphs/rpart/rpart_c702.html;D'autres informations","21"
"21- MONTHELIE","3526","61.9","37.9","0","0","0.1","0","url:../graphs/rpart/rpart_c682.html;D'autres informations","21"
"21- VOUGEOT","1180","83.7","15.4","0","0","0.8","0","url:../graphs/rpart/rpart_c701.html;D'autres informations","21"
"21- POINCON-LES-LARREY","433","0","99.6","0","0","0.4","0","url:../graphs/rpart/rpart_c688.html;D'autres informations","21"
"21- COMBLANCHIEN","1840","91.3","7.5","0","0","1.2","0","url:../graphs/rpart/rpart_c661.html;D'autres informations","21"
"21- BOUZE-LES-BEAUNE","1239","70.3","29.3","0","0","0.4","0","url:../graphs/rpart/rpart_c653.html;D'autres informations","21"
"21- AUXEY-DURESSES","8303","63.5","36.1","0","0","0.4","0","url:../graphs/rpart/rpart_c645.html;D'autres informations","21"
"21- VOSNE-ROMANEE","12528","92.6","6.5","0","0","0.5","0.3","url:../graphs/rpart/rpart_c700.html;D'autres informations","21"
"21- CHAMBOLLE-MUSIGNY","4925","93.4","6.5","0","0","0.1","0","url:../graphs/rpart/rpart_c655.html;D'autres informations","21"
"21- MAREY-LES-FUSSEY","3449","68.8","31.2","0","0","0","0","url:../graphs/rpart/rpart_c673.html;D'autres informations","21"
"21- CHOREY-LES-BEAUNE","6470","83.9","16","0","0","0","0","url:../graphs/rpart/rpart_c660.html;D'autres informations","21"
"21- CHENOVE","748","77.1","20.7","0","0","1.3","0.8","url:../graphs/rpart/rpart_c658.html;D'autres informations","21"
"21- CORGOLOIN","5060","76","24","0","0","0","0","url:../graphs/rpart/rpart_c662.html;D'autres informations","21"
"21- MONTAGNY-LES-BEAUNE","362","67.9","31.1","0","0.6","0.3","0","url:../graphs/rpart/rpart_c681.html;D'autres informations","21"
"21- MELOISEY","5128","75.2","24.7","0","0","0","0.1","url:../graphs/rpart/rpart_c677.html;D'autres informations","21"
"21- MOREY-SAINT-DENIS","9592","87.4","12.2","0","0","0.3","0","url:../graphs/rpart/rpart_c683.html;D'autres informations","21"
"21- SAINT-AUBIN","11282","34","65.6","0","0","0.4","0","url:../graphs/rpart/rpart_c692.html;D'autres informations","21"
"21- VILLARS-FONTAINE","2848","77.1","22.9","0","0","0","0","url:../graphs/rpart/rpart_c697.html;D'autres informations","21"
"21- MASSINGY","367","6.3","93.7","0","0","0","0","url:../graphs/rpart/rpart_c675.html;D'autres informations","21"
"21- BAUBIGNY","726","71.4","28.6","0","0","0","0","url:../graphs/rpart/rpart_c646.html;D'autres informations","21"
"21- ECHEVRONNE","2848","63.9","36.1","0","0","0","0","url:../graphs/rpart/rpart_c666.html;D'autres informations","21"
"21- PREMEAUX-PRISSEY","5970","83","16.8","0","0","0.1","0.1","url:../graphs/rpart/rpart_c690.html;D'autres informations","21"
"21- BEVY","1746","22.9","77.1","0","0","0","0","url:../graphs/rpart/rpart_c649.html;D'autres informations","21"
"21- PULIGNY-MONTRACHET","10203","11.9","88.1","0","0","0","0","url:../graphs/rpart/rpart_c691.html;D'autres informations","21"
"21- BONNENCONTRE","539","72.5","24.3","1.4","0.9","0","0.9","url:../graphs/rpart/rpart_c652.html;D'autres informations","21"
"21- CHEVANNES","959","81.5","18.5","0","0","0","0","url:../graphs/rpart/rpart_c659.html;D'autres informations","21"
"21- CHAUX","1715","70.4","29.6","0","0","0","0","url:../graphs/rpart/rpart_c657.html;D'autres informations","21"
"21- ALOXE-CORTON","2701","84.5","15.5","0","0","0","0","url:../graphs/rpart/rpart_c643.html;D'autres informations","21"
"21- MAVILLY-MANDELOT","376","50.2","49.8","0","0","0","0","url:../graphs/rpart/rpart_c676.html;D'autres informations","21"
"21- PERNAND-VERGELESSES","3925","63","36.8","0","0","0.1","0.2","url:../graphs/rpart/rpart_c687.html;D'autres informations","21"
"21- SANTENAY","16492","73.3","26.7","0","0","0","0","url:../graphs/rpart/rpart_c695.html;D'autres informations","21"
"21- VOLNAY","8620","83.1","16.7","0","0","0.1","0","url:../graphs/rpart/rpart_c699.html;D'autres informations","21"
"21- BROCHON","2823","96.8","3.2","0","0","0","0.1","url:../graphs/rpart/rpart_c654.html;D'autres informations","21"
"21- ARCENANT","854","70.1","29.4","0","0","0.5","0","url:../graphs/rpart/rpart_c644.html;D'autres informations","21"
"21- MEURSAULT","29782","37.8","62.2","0","0","0","0","url:../graphs/rpart/rpart_c679.html;D'autres informations","21"
"21- FIXIN","2483","89.7","10.2","0","0","0","0","url:../graphs/rpart/rpart_c667.html;D'autres informations","21"
"21- MARSANNAY-LA-COTE","10686","85","14.8","0","0","0.1","0.1","url:../graphs/rpart/rpart_c674.html;D'autres informations","21"
"21- CHASSAGNE-MONTRACHET","15107","38.1","61.9","0","0","0","0","url:../graphs/rpart/rpart_c656.html;D'autres informations","21"
"21- NANTOUX","2687","71.9","27.6","0","0","0.2","0.4","url:../graphs/rpart/rpart_c684.html;D'autres informations","21"
"21- BLIGNY-LES-BEAUNE","1631","77.3","22.6","0","0","0.2","0","url:../graphs/rpart/rpart_c651.html;D'autres informations","21"
"21- SAINTE-MARIE-LA-BLANCHE","794","60.8","22.9","10","5.1","1.2","0","url:../graphs/rpart/rpart_c694.html;D'autres informations","21"
"21- POMMARD","6311","82.9","17.1","0","0","0","0","url:../graphs/rpart/rpart_c689.html;D'autres informations","21"
"21- BELAN-SUR-OURCE","1441","0","100","0","0","0","0","url:../graphs/rpart/rpart_c648.html;D'autres informations","21"
"21- VILLERS-LA-FAYE","3609","65.6","34.4","0","0","0","0.1","url:../graphs/rpart/rpart_c698.html;D'autres informations","21"
"21- BISSEY-LA-COTE","257","0","100","0","0","0","0","url:../graphs/rpart/rpart_c650.html;D'autres informations","21"
"24- CONNE-DE-LABARDE","3483","50.7","48.6","0","0.1","0.5","0","url:../graphs/rpart/rpart_c706.html;D'autres informations","24"
"24-LE FLEIX","831","30.4","16.4","21.9","18.2","4.2","8.9","url:../graphs/rpart/rpart_c741.html;D'autres informations","24"
"24- SAINT-NEXANS","3119","63.4","35.3","0","0","1","0.4","url:../graphs/rpart/rpart_c733.html;D'autres informations","24"
"24- SAINT-MARTIN-DE-GURSON","544","55.9","42.5","0","0","0.8","0.7","url:../graphs/rpart/rpart_c730.html;D'autres informations","24"
"24- GAGEAC-ET-ROUILLAC","8815","45.1","53.3","0","0","1.5","0.2","url:../graphs/rpart/rpart_c710.html;D'autres informations","24"
"24- LAMOTHE-MONTRAVEL","3848","75.6","18","0.2","0","0.9","5.2","url:../graphs/rpart/rpart_c711.html;D'autres informations","24"
"24- MONTCARET","7348","79.9","19.1","0","0.3","0.3","0.3","url:../graphs/rpart/rpart_c717.html;D'autres informations","24"
"24- MONTPON-MENESTEROL","281","0","0","85.1","8.1","6","0.7","url:../graphs/rpart/rpart_c718.html;D'autres informations","24"
"24- PRIGONRIEUX","2127","49.6","49.7","0","0","0.4","0.3","url:../graphs/rpart/rpart_c721.html;D'autres informations","24"
"24- SAINT-MICHEL-DE-MONTAIGNE","5710","77.9","17.4","0","0","3.3","1.3","url:../graphs/rpart/rpart_c732.html;D'autres informations","24"
"24- BERGERAC","10007","52.1","46.5","0","0","0.1","1.4","url:../graphs/rpart/rpart_c703.html;D'autres informations","24"
"24- EYMET","2557","60.5","34.4","0","0","5.2","0","url:../graphs/rpart/rpart_c707.html;D'autres informations","24"
"24- SAINT-ANTOINE-DE-BREUILH","4342","68.6","29.6","0","0","1.3","0.5","url:../graphs/rpart/rpart_c726.html;D'autres informations","24"
"24- THENAC","13751","50.4","41.4","0","0","4.4","3.8","url:../graphs/rpart/rpart_c737.html;D'autres informations","24"
"24- VELINES","3929","63.6","30.8","0","0","0.8","4.7","url:../graphs/rpart/rpart_c738.html;D'autres informations","24"
"24- SAINT-PIERRE-D'EYRAUD","724","84.5","2.1","0","0","13.4","0","url:../graphs/rpart/rpart_c734.html;D'autres informations","24"
"24- SAINT-MEARD-DE-GURCON","11909","55.3","41.2","0.7","0.4","0.7","1.7","url:../graphs/rpart/rpart_c731.html;D'autres informations","24"
"24- MINZAC","936","67.7","30.5","0","0","1.8","0","url:../graphs/rpart/rpart_c714.html;D'autres informations","24"
"24- MONBAZILLAC","24234","28.1","71.1","0","0","0.5","0.3","url:../graphs/rpart/rpart_c715.html;D'autres informations","24"
"24- PORT-SAINTE-FOY-ET-PONCHAPT","9904","59.1","40.7","0.1","0","0.1","0","url:../graphs/rpart/rpart_c720.html;D'autres informations","24"
"24- SAINT-AUBIN-DE-LANQUAIS","2271","64.9","33.6","0","0","0.4","1.1","url:../graphs/rpart/rpart_c727.html;D'autres informations","24"
"24- MONESTIER","10018","49.4","39.3","0","0.2","0.9","10.2","url:../graphs/rpart/rpart_c716.html;D'autres informations","24"
"24-LA ROCHE-CHALAIS","1847","4.6","0","0","0","2","93.4","url:../graphs/rpart/rpart_c740.html;D'autres informations","24"
"24- RIBAGNAC","2325","48.4","50.7","0","0","0.6","0.3","url:../graphs/rpart/rpart_c724.html;D'autres informations","24"
"24- VILLEFRANCHE-DE-LONCHAT","807","92.3","5.8","0","0","1.2","0.6","url:../graphs/rpart/rpart_c739.html;D'autres informations","24"
"24- PUYMANGOU","581","1.3","0","0","0","20.7","78","url:../graphs/rpart/rpart_c722.html;D'autres informations","24"
"24- SIGOULES","2364","39.8","48.5","0","0","4.2","7.6","url:../graphs/rpart/rpart_c736.html;D'autres informations","24"
"24- ROUFFIGNAC-DE-SIGOULES","3357","35","60.7","0","0","4.3","0","url:../graphs/rpart/rpart_c725.html;D'autres informations","24"
"24- BOISSE","1710","60.3","13.6","15.1","0","9.7","1.3","url:../graphs/rpart/rpart_c704.html;D'autres informations","24"
"24- SAINT-LAURENT-DES-VIGNES","6721","44.1","55.7","0","0","0.2","0","url:../graphs/rpart/rpart_c729.html;D'autres informations","24"
"24- FLAUGEAC","2931","42.9","55.7","0","0","0.1","1.3","url:../graphs/rpart/rpart_c708.html;D'autres informations","24"
"24- LEMBRAS","367","67.6","29.1","1.4","0","1.5","0.4","url:../graphs/rpart/rpart_c712.html;D'autres informations","24"
"24- LIMEUIL","387","0","0","90.8","3.4","5.8","0","url:../graphs/rpart/rpart_c713.html;D'autres informations","24"
"24- RAZAC-DE-SAUSSIGNAC","13264","69.2","29.6","0","0","0","1.2","url:../graphs/rpart/rpart_c723.html;D'autres informations","24"
"24- COLOMBIER","6733","34.5","62.9","0","2","0.6","0","url:../graphs/rpart/rpart_c705.html;D'autres informations","24"
"24- SAINT-JULIEN-D'EYMET","3782","56.4","43.5","0","0.1","0","0","url:../graphs/rpart/rpart_c728.html;D'autres informations","24"
"24- SAUSSIGNAC","10298","56.3","40.6","0","0","0.7","2.5","url:../graphs/rpart/rpart_c735.html;D'autres informations","24"
"24- POMPORT","30820","30","69.4","0","0","0.3","0.3","url:../graphs/rpart/rpart_c719.html;D'autres informations","24"
"24- FOUGUEYROLLES","7402","53.8","41.2","1.2","2.7","0.4","0.7","url:../graphs/rpart/rpart_c709.html;D'autres informations","24"
"26- AUREL","3329","0","99.5","0","0","0.5","0","url:../graphs/rpart/rpart_c743.html;D'autres informations","26"
"26- TAULIGNAN","2468","94.5","0.8","4.1","0","0.6","0","url:../graphs/rpart/rpart_c769.html;D'autres informations","26"
"26- ROUSSET-LES-VIGNES","1296","90.4","6.1","0","0","3.4","0","url:../graphs/rpart/rpart_c763.html;D'autres informations","26"
"26- SAILLANS","3014","0","99","0","0.8","0.2","0","url:../graphs/rpart/rpart_c764.html;D'autres informations","26"
"26- ROCHE-SAINT-SECRET-BECONNE","1214","83.8","15.6","0","0","0.7","0","url:../graphs/rpart/rpart_c760.html;D'autres informations","26"
"26- BARSAC","4945","0","99.1","0","0.7","0.1","0","url:../graphs/rpart/rpart_c744.html;D'autres informations","26"
"26- MIRABEL-AUX-BARONNIES","1294","90.8","2.4","6.5","0","0.3","0","url:../graphs/rpart/rpart_c754.html;D'autres informations","26"
"26- LIVRON-SUR-DROME","492","63.1","15.9","12.7","3.3","5","0","url:../graphs/rpart/rpart_c751.html;D'autres informations","26"
"26-LE PEGUE","1147","100","0","0","0","0","0","url:../graphs/rpart/rpart_c775.html;D'autres informations","26"
"26- ROCHEGUDE","7131","90.7","1.6","6.4","0.4","0.9","0","url:../graphs/rpart/rpart_c761.html;D'autres informations","26"
"26- BEAUMONT-MONTEUX","2364","91.3","5.7","2.2","0.5","0.3","0","url:../graphs/rpart/rpart_c745.html;D'autres informations","26"
"26- PIEGON","1580","86.5","0.8","2.6","0","10.1","0","url:../graphs/rpart/rpart_c757.html;D'autres informations","26"
"26- CHANOS-CURSON","2986","83.4","14.7","0","0.7","0.7","0.6","url:../graphs/rpart/rpart_c747.html;D'autres informations","26"
"26-LA BAUME-DE-TRANSIT","2875","91.3","4.4","1.1","0","3.2","0","url:../graphs/rpart/rpart_c773.html;D'autres informations","26"
"26- BOUCHET","2625","90.9","2.6","5.7","0","0.8","0","url:../graphs/rpart/rpart_c746.html;D'autres informations","26"
"26- MONTBRISON-SUR-LEZ","2651","94.5","3.7","1.1","0","0.2","0.6","url:../graphs/rpart/rpart_c756.html;D'autres informations","26"
"26- SAINT-PANTALEON-LES-VIGNES","7466","88.2","1.2","1.1","0.1","9.3","0","url:../graphs/rpart/rpart_c765.html;D'autres informations","26"
"26- TAIN-L'HERMITAGE","3038","78.9","17.1","3.4","0.2","0.5","0","url:../graphs/rpart/rpart_c768.html;D'autres informations","26"
"26- TULETTE","16999","91","2.8","3.8","0.6","1.8","0","url:../graphs/rpart/rpart_c770.html;D'autres informations","26"
"26- PONTAIX","2834","0","99.5","0","0","0.5","0","url:../graphs/rpart/rpart_c759.html;D'autres informations","26"
"26- ROUSSAS","3360","79.2","11.2","0","2.2","7.4","0.1","url:../graphs/rpart/rpart_c762.html;D'autres informations","26"
"26- CHANTEMERLE-LES-GRIGNAN","2772","45.9","12.7","31.9","9.5","0","0","url:../graphs/rpart/rpart_c748.html;D'autres informations","26"
"26- VERCHENY","10515","0","99.6","0","0.1","0.3","0.1","url:../graphs/rpart/rpart_c771.html;D'autres informations","26"
"26- LARNAGE","1156","84.3","12.3","2.8","0","0.6","0","url:../graphs/rpart/rpart_c750.html;D'autres informations","26"
"26-LA ROCHE-DE-GLUN","5143","90.3","9.7","0","0","0","0","url:../graphs/rpart/rpart_c774.html;D'autres informations","26"
"26- VINSOBRES","14331","88.9","4","5.7","0.3","0.9","0.2","url:../graphs/rpart/rpart_c772.html;D'autres informations","26"
"26- ALLEX","710","70.6","4.7","16.6","0","4.1","4.1","url:../graphs/rpart/rpart_c742.html;D'autres informations","26"
"26- SAINT-ROMAN","2423","7","90.2","1","0.4","1.4","0","url:../graphs/rpart/rpart_c766.html;D'autres informations","26"
"26- MERCUROL","9971","89.1","7.9","2.3","0.5","0.1","0.2","url:../graphs/rpart/rpart_c752.html;D'autres informations","26"
"26- SUZE-LA-ROUSSE","7140","78.6","3.9","2.1","1.5","13.1","0.7","url:../graphs/rpart/rpart_c767.html;D'autres informations","26"
"26- GERVANS","2793","73.7","25.5","0","0","0.7","0","url:../graphs/rpart/rpart_c749.html;D'autres informations","26"
"26- PONT-DE-L'ISERE","2213","94.9","5.1","0","0","0","0","url:../graphs/rpart/rpart_c758.html;D'autres informations","26"
"26- MERINDOL-LES-OLIVIERS","258","81.7","3.7","0","0","8.8","5.8","url:../graphs/rpart/rpart_c753.html;D'autres informations","26"
"26- MONTBOUCHER-SUR-JABRON","414","0","0","95.7","2.7","1.7","0","url:../graphs/rpart/rpart_c755.html;D'autres informations","26"
"30- SAINT-VICTOR-LA-COSTE","7101","48.5","16.3","17.8","5.2","11.7","0.5","url:../graphs/rpart/rpart_c818.html;D'autres informations","30"
"30- SABRAN","33780","81.8","5.2","6","0.8","5.9","0.3","url:../graphs/rpart/rpart_c808.html;D'autres informations","30"
"30- BAGNOLS-SUR-CEZE","6208","82.8","8.3","4.2","0","4.6","0.2","url:../graphs/rpart/rpart_c787.html;D'autres informations","30"
"30- ROCHEFORT-DU-GARD","2890","80.2","11.5","0","0","6.6","1.6","url:../graphs/rpart/rpart_c806.html;D'autres informations","30"
"30- SAINT-GILLES","76209","34.1","2.8","46.8","9.2","6.7","0.4","url:../graphs/rpart/rpart_c812.html;D'autres informations","30"
"30- BLAUZAC","3500","14.8","2.9","43","20.9","16","2.4","url:../graphs/rpart/rpart_c791.html;D'autres informations","30"
"30- LAUDUN-L'ARDOISE","6172","46.8","2.4","33.4","6.2","11.2","0","url:../graphs/rpart/rpart_c799.html;D'autres informations","30"
"30- BEAUCAIRE","37863","13.3","2.1","59.8","5.2","17.5","2.1","url:../graphs/rpart/rpart_c788.html;D'autres informations","30"
"30- SAINT-LAURENT-DES-ARBRES","5332","83.2","3.9","4.8","0.3","7.9","0","url:../graphs/rpart/rpart_c816.html;D'autres informations","30"
"30- MONTFRIN","10044","33.7","2.7","56","6","1.6","0","url:../graphs/rpart/rpart_c802.html;D'autres informations","30"
"30-LE CAILAR","8303","16.2","0","66.5","10.7","3.8","2.8","url:../graphs/rpart/rpart_c826.html;D'autres informations","30"
"30- SAINT-HIPPOLYTE-DU-FORT","5284","9","0","52.9","12.3","21.2","4.6","url:../graphs/rpart/rpart_c814.html;D'autres informations","30"
"30- VAUVERT","32233","21.4","2.4","64.9","4.5","6.8","0","url:../graphs/rpart/rpart_c823.html;D'autres informations","30"
"30- VERFEUIL","3044","39.7","0","4.6","1","54.7","0.1","url:../graphs/rpart/rpart_c824.html;D'autres informations","30"
"30- TRESQUES","24502","72","2.1","11.5","0.7","13.6","0","url:../graphs/rpart/rpart_c822.html;D'autres informations","30"
"30- MANDUEL","20007","44.6","4.2","30.4","9.5","10.8","0.4","url:../graphs/rpart/rpart_c801.html;D'autres informations","30"
"30- DOMAZAN","28880","89.4","3.4","2.9","0.3","3.7","0.2","url:../graphs/rpart/rpart_c796.html;D'autres informations","30"
"30- JONQUIERES-SAINT-VINCENT","2536","10.6","1","22.6","1.3","56.9","7.7","url:../graphs/rpart/rpart_c797.html;D'autres informations","30"
"30- SAINT-JULIEN-DE-PEYROLAS","7736","60.5","0.8","15.6","0.6","21.1","1.4","url:../graphs/rpart/rpart_c815.html;D'autres informations","30"
"30- NIMES","11821","59.6","3.2","26.7","10.4","0","0","url:../graphs/rpart/rpart_c803.html;D'autres informations","30"
"30- CORCONNE","854","60.4","2.7","14.4","14.9","6.8","0.8","url:../graphs/rpart/rpart_c794.html;D'autres informations","30"
"30- SAINT-ALEXANDRE","4575","70.4","7.3","6.3","0.1","15.7","0.2","url:../graphs/rpart/rpart_c809.html;D'autres informations","30"
"30- SAINT-ETIENNE-DES-SORTS","3388","91.6","2.7","3.5","0","2.2","0","url:../graphs/rpart/rpart_c810.html;D'autres informations","30"
"30- SOMMIERES","2933","22.8","0.7","61.7","8.5","6.4","0","url:../graphs/rpart/rpart_c820.html;D'autres informations","30"
"30- LANGLADE","1169","36.9","2.8","47.7","12.5","0","0.2","url:../graphs/rpart/rpart_c798.html;D'autres informations","30"
"30- LAVAL-SAINT-ROMAN","4746","58.2","2.1","26.7","1.7","10.2","1.2","url:../graphs/rpart/rpart_c800.html;D'autres informations","30"
"30-LE GRAU-DU-ROI","14263","0","0","95.5","0.3","4.2","0","url:../graphs/rpart/rpart_c827.html;D'autres informations","30"
"30- VIC-LE-FESQ","2995","4.6","0","50","15.4","24.7","5.2","url:../graphs/rpart/rpart_c825.html;D'autres informations","30"
"30- SAINT-HILAIRE-D'OZILHAN","4383","86.6","5.7","4.4","2.6","0.7","0","url:../graphs/rpart/rpart_c813.html;D'autres informations","30"
"30- PONT-SAINT-ESPRIT","9161","72.4","2.2","18.6","0.2","6.5","0.1","url:../graphs/rpart/rpart_c804.html;D'autres informations","30"
"30- BEAUVOISIN","9221","44.3","4.9","21.3","3","22.7","3.7","url:../graphs/rpart/rpart_c789.html;D'autres informations","30"
"30- SAINT-GENIES-DE-COMOLAS","6358","73.5","6.1","0","0","20.4","0","url:../graphs/rpart/rpart_c811.html;D'autres informations","30"
"30- SAZE","5584","91.9","2.5","2.8","0.5","2.3","0","url:../graphs/rpart/rpart_c819.html;D'autres informations","30"
"30- CAISSARGUES","11650","47.8","11.8","28.7","0","4.6","7.2","url:../graphs/rpart/rpart_c793.html;D'autres informations","30"
"30- TAVEL","29316","83.4","3.3","8.3","1.3","3.5","0.1","url:../graphs/rpart/rpart_c821.html;D'autres informations","30"
"30- SAINT-PAULET-DE-CAISSON","11298","57.2","1.6","31.6","2.6","6.4","0.5","url:../graphs/rpart/rpart_c817.html;D'autres informations","30"
"30- POUZILHAC","2923","88.1","2.3","3.5","4.7","1","0.5","url:../graphs/rpart/rpart_c805.html;D'autres informations","30"
"30- CORNILLON","11358","70.1","2.3","15.3","6.6","5.6","0","url:../graphs/rpart/rpart_c795.html;D'autres informations","30"
"30- ROQUEMAURE","8864","79.8","4.3","8.6","2.6","4.5","0.2","url:../graphs/rpart/rpart_c807.html;D'autres informations","30"
"30- AIGUES-MORTES","134018","0","0","97.4","2","0.7","0","url:../graphs/rpart/rpart_c785.html;D'autres informations","30"
"30- AIMARGUES","31401","0","0","53","10.6","32.3","4","url:../graphs/rpart/rpart_c786.html;D'autres informations","30"
"30- BELLEGARDE","26539","33.4","2.8","42.5","8.4","11.7","1.2","url:../graphs/rpart/rpart_c790.html;D'autres informations","30"
"30- BROUZET-LES-QUISSAC","928","52.6","0","36.6","10.3","0","0.5","url:../graphs/rpart/rpart_c792.html;D'autres informations","30"
"31- CASTELNAU-D'ESTRETEFONDS","737","96.5","0","0","0","2.8","0.7","url:../graphs/rpart/rpart_c828.html;D'autres informations","31"
"31- VACQUIERS","2276","76.4","0","2.6","3.1","15.6","2.3","url:../graphs/rpart/rpart_c831.html;D'autres informations","31"
"31- FRONTON","11895","75.3","0","18.8","1.8","3.7","0.3","url:../graphs/rpart/rpart_c829.html;D'autres informations","31"
"31- VILLEMUR-SUR-TARN","1793","46.1","0","31","0","21.8","1.1","url:../graphs/rpart/rpart_c832.html;D'autres informations","31"
"31- SAINT-ELIX-LE-CHATEAU","217","0","0","75.7","0","24.3","0","url:../graphs/rpart/rpart_c830.html;D'autres informations","31"
"32- VIC-FEZENSAC","706","0","0","12","34.3","9.3","44.3","url:../graphs/rpart/rpart_c885.html;D'autres informations","32"
"32- MAUMUSSON-LAGUIAN","13133","66.4","14.4","13.1","1.3","3.8","1","url:../graphs/rpart/rpart_c866.html;D'autres informations","32"
"32- SAINTE-CHRISTIE-D'ARMAGNAC","3607","0","0","3.3","77.1","0.2","19.5","url:../graphs/rpart/rpart_c882.html;D'autres informations","32"
"32- BEAUCAIRE","4667","0.8","0.6","29.9","54.3","0.3","14.1","url:../graphs/rpart/rpart_c836.html;D'autres informations","32"
"32- BASSOUES","640","6.2","8.2","15.8","20.5","1","48.2","url:../graphs/rpart/rpart_c835.html;D'autres informations","32"
"32- LAGRAULET-DU-GERS","17127","0","0","5.6","75.4","0.4","18.6","url:../graphs/rpart/rpart_c855.html;D'autres informations","32"
"32- LABARRERE","6429","0","0","3.7","89.8","0","6.4","url:../graphs/rpart/rpart_c854.html;D'autres informations","32"
"32- LARROQUE-SUR-L'OSSE","30105","0.9","0.8","7.8","67.9","0.5","22","url:../graphs/rpart/rpart_c859.html;D'autres informations","32"
"32- ESPAS","1898","0","0","0","64.2","1.1","34.7","url:../graphs/rpart/rpart_c849.html;D'autres informations","32"
"32-LE HOUGA","1094","0","0","16.5","52.7","0.6","30.2","url:../graphs/rpart/rpart_c888.html;D'autres informations","32"
"32- LANNEPAX","7887","0.1","0.2","5.7","56","2.5","35.5","url:../graphs/rpart/rpart_c857.html;D'autres informations","32"
"32- CONDOM","24381","0.1","0.1","13.1","56.2","1","29.5","url:../graphs/rpart/rpart_c845.html;D'autres informations","32"
"32- COURRENSAN","16540","0","0","1.9","59.2","0.5","38.4","url:../graphs/rpart/rpart_c846.html;D'autres informations","32"
"32- SAINT-PUY","9422","0.2","0.2","16.9","22.8","6.6","53.3","url:../graphs/rpart/rpart_c880.html;D'autres informations","32"
"32- LAREE","8779","1.7","1.6","15.3","56.3","0","25.2","url:../graphs/rpart/rpart_c858.html;D'autres informations","32"
"32-LA SAUVETAT","155","0","0","0","0","42.6","57.4","url:../graphs/rpart/rpart_c887.html;D'autres informations","32"
"32- LANNEMAIGNAN","2572","0.6","0.6","0","1.7","3.2","94","url:../graphs/rpart/rpart_c856.html;D'autres informations","32"
"32- CASTELNAU-D'AUZAN","12693","0","0","1.6","60.8","0.3","37.3","url:../graphs/rpart/rpart_c841.html;D'autres informations","32"
"32- CAZAUBON","27052","0","0","7.6","67.4","0.3","24.7","url:../graphs/rpart/rpart_c843.html;D'autres informations","32"
"32- BRETAGNE-D'ARMAGNAC","25285","0","0","5.1","83.7","0","11.1","url:../graphs/rpart/rpart_c838.html;D'autres informations","32"
"32- FOURCES","13257","0.2","0.2","9.6","70.5","7.3","12.2","url:../graphs/rpart/rpart_c851.html;D'autres informations","32"
"32- REANS","11559","0.6","0.5","7.6","65","0","26.3","url:../graphs/rpart/rpart_c874.html;D'autres informations","32"
